State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
,90302,,San Bernardino County Transportation Authority,,SBCTA,,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,2023-06-30,2023-10-31,1170 W 3Rd St Fl 2,,,San Bernardino,CA,92410.0,1724.0,9,www.gosbcta.com,1681.0,D36ZJBWRKJK1,2953.0,2182056.0,75340.0,"Riverside--San Bernardino, CA",,2276703.0,3741.10493573275,608.56,,79.0,79,,,Tier II,,,
,90303,,Santa Barbara County Association of Governments,Rail and Transit Division,SBCAG-CAE,Clean Air Express,Reduced Reporter,Urban,"MPO, COG or Other Planning Agency",,,,2023-06-30,2023-10-31,260 N San Antonio Rd Ste B,,,Santa Barbara,CA,93110.0,1315.0,9,https://cleanairexpress.com/,1870.0,SS5UKK1GZMM6,2554.0,277350.0,79282.0,"Santa Barbara, CA",,202197.0,3688.92839203404,54.81,,10.0,10,,,Tier II,,,
,90305,,Lake Havasu City,City Manager/Transit Division,LHCT,Lake Havasu City Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,2330 Mcculloch Blvd N,,,Lake Havasu City,AZ,86403.0,5950.0,9,www.lhctransit.org,7377.0,E3YECMCP1BP6,32.0,48200.0,46747.0,"Lake Havasu City, AZ",,59017.0,1746.75518615886,33.79,7.0,,7,,,Tier II,,,
,90306,,Stanislaus Regional Transit Authority,,,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,912 11Th St Ste 100,,,Modesto,CA,95354.0,2382.0,9,https://stanrta.org/,7399.0,R4L7KNA6C2P7,1515.0,550660.0,58006.0,"Modesto, CA",,357301.0,5076.78643425922,70.38,,102.0,102,,,Tier II,,,
,90307,,Town of Prescott Valley,Public Works,YAV,YavaLine Regional Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,7501 E Skoog Blvd,,,Prescott Valley,AZ,86314.0,2263.0,9,https://www.prescottvalley-az.gov/183/Public-Transit,7402.0,MZF4F2NL88Y8,12.0,31200.0,72112.0,"Prescott--Prescott Valley, AZ",,92427.0,1895.75519496984,48.75,,4.0,4,,,Tier II,,,
,90309,,City of Casa Grande,Transit Department,,Casa Grande LINK,Building Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,510 E. Florence Blvd,,,Casa Grande,AZ,85122.0,,9,www.casagrandelink.com,7403.0,,,,14401.0,"Casa Grande, AZ",,50981.0,2375.09593012824,21.46,,,0,,,Tier II,,,
,90310,,Tulare County Regional Transit Agency,,TCRTA,Tulare County Regional Transit Agency,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,200 E. Center Avenue,,,Visalia,CA,93291.0,,9,www.gotcrta.org,7405.0,,124.0,268040.0,90946.0,"Visalia, CA",,160578.0,4258.8856831962,37.7,,41.0,41,,,Tier II,,,
,90311,,Stanislaus Council of Governments,Mobility Programs,StanCOG,StanisCruise,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,2023-06-30,2023-10-31,1111 I Street,Suite 308,,Modesto,CA,95354.0,,9,https://staniscruise.com/,,,730.0,151128.0,58006.0,"Modesto, CA",,357301.0,5076.78643425922,70.38,,62.0,62,,,Tier II,,,
,90312,,Sacramento Area Council of Governments,,SACOG,,Planning Reporter,Urban,"MPO, COG or Other Planning Agency",,,,2023-06-30,2023-10-31,1415 L St Ste 300,,,Sacramento,CA,95814.0,3963.0,9,www.sacog.org			,1658.0,YXLCCEGACKS3,,,77068.0,"Sacramento, CA",,1946618.0,4163.16000179239,467.58,,,0,,,Tier II,,,
,90999,9R05-001,Government of Guam-Guam Regional Transit Authority,Guam Regional Transit Authority ,GRTA,Guam Public Transit System,Reduced Reporter,Urban,State Government Unit or Department of Transportation,,,,2023-09-30,2024-01-31,542 N Marine Corps Dr,,,Tamuning,GU,96913.0,4111.0,9,http://grta.guam.gov,1641.0,SENLQS3R1VN7,30.0,42660.0,22811.0,"Dededo--Apotgan--Tamuning, GU",,128164.0,2323.45671084626,55.16,14.0,,14,,,Tier II,,,
9R02,91000,9R02-018,Amador Transit,,AT,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,11400 American Legion Drive,,,Jackson,CA,95642.0,,9,http://amadortransit.com/,1622.0,J3KAWTE8LLA4,,,,,,,,,18.0,,18,0.0,0.0,Tier II,,,
9R01,91001,9R01-003,City of Show Low,Transportation,FSC,Four Seasons Connection,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,180 N 9Th St,,,Show Low,AZ,85901.0,5116.0,9,http://www.ci.show-low.az.us,1635.0,LK7PLRNTVKT1,,,,,,,,,,6.0,6,0.0,0.0,Tier II,,,
9R02,91002,9R02-059,City of Corcoran,Transit,CAT ,Corcoran Area Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,832 Whitley Ave,,,Corcoran,CA,93212.0,2428.0,9,http://www.cityofcorcoran.com/,1622.0,L8JXLDCDAP44,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R06,91004,9R06-001,Port of Administration Authority,,,,Rural Reporter,Rural,State Government Unit or Department of Transportation,9R06,American Samoa Department of Public Works,Rural General Public Transit,2023-09-30,2024-01-31,Tafuna Industrial Park Dpw Complex,,,Pago Pago,AS,96799.0,,9,http://www.americansamoa.gov,2161.0,WYVXFUU3BKS4,,,,,,,,,1.0,,1,0.0,0.0,Tier II,,,
,91005,9R02-062,Madera County,Public Works Department,,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,200 W 4Th St,,,Madera,CA,93637.0,3548.0,9,https://www.maderacounty.com/government/public-works/transit,7430.0,KNPYKHLWNKE1,181.0,144484.0,52984.0,"Madera, CA",,81635.0,3894.84650328785,20.96,,9.0,9,,,Tier II,,,
9R02,91006,9R02-051,City of Ridgecrest,Transit Division / Department of Public Works,RTS,Ridgerunner,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,100 W California Ave,,,Ridgecrest,CA,93555.0,4054.0,9,http://ridgecrest-ca.gov/,1622.0,MC5QRTD2EZP3,,,,,,,,,5.0,,5,0.0,0.0,Tier II,,,
9R02,91007,9R02-025,Fresno County Rural Transit Agency,,FCRTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,2035 Tulare St # 201,,,Fresno,CA,93721.0,2004.0,9,http://www.ruraltransit.org/,1622.0,KRFPMXN2KT55,,,,,,,,,,65.0,65,0.0,0.0,Tier II,,,
9R02,91008,9R02-048,Modoc Transportation Agency,,MTA,Sage Stage,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,108 S Main St,,,Alturas,CA,96101.0,4051.0,9,http://sagestage.com/,1622.0,RS4WH6EPB5K9,,,,,,,,,,3.0,3,0.0,0.0,Tier II,,,
9R02,91009,9R02-013,San Benito County Local Transportation Authority,,		,San Benito County Express,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,330 Tres Pinos Rd Ste C7,,,Hollister,CA,95023.0,5579.0,9,http://www.sanbenitocountyexpress.org/,1622.0,CM4BJCDJLV74,,,,,,,,,,9.0,9,0.0,0.0,Tier II,,,
9R01,91010,9R01-009,City of Cottonwood,Transit,CAT,Cottonwood Area Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,821 N Main St,,,Cottonwood,AZ,86326.0,4012.0,9,http://www.cottonwoodaz.gov,1635.0,L2JKCYB98WH5,,,,,,,,,9.0,,9,0.0,0.0,Tier II,,,
9R02,91012,9R02-050,Mountain Area Regional Transit Authority,,MARTA,Mountain Transit,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,41939 Fox Farm Rd,,1501,Big Bear Lake,CA,92315.0,2086.0,9,http://mountaintransit.org/,1622.0,ENE9GSYQXMD9,,,,,,,,,30.0,,30,0.0,0.0,Tier II,,,
9R02,91014,9R02-032,City of Rio Vista,Department of Public Works,,Rio Vista Delta Breeze,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,1 Main St,,745,Rio Vista,CA,94571.0,1842.0,9,https://www.riovistacity.com/deltabreeze,1622.0,NYTQF8PEYMF5,,,,,,,,,,2.0,2,0.0,0.0,Tier II,,,
9R01,91016,9R01-017,"Helping Hands Agency, Inc.",,,Express Public Transportation,Rural Reporter,Rural,Private-Non-Profit Corporation,9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,645 N Navajo ,,3938,Page,AZ,86040.0,,9,http://www.helpinghandsagency.com,1635.0,P8QGRK2K4YL8,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R02,91018,9R02-108,City of Arcata,,A&MRTS,Arcata & Mad River Transit System,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,736 F St,,,Arcata,CA,95521.0,6284.0,9,http://www.cityofarcata.org/,1622.0,V88WVT5DV4L1,,,,,,,,,,2.0,2,0.0,0.0,Tier II,,,
9R02,91020,9R02-063,City of Needles,Transit,NAT,Needles Area Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,817 3Rd St,,,Needles,CA,92363.0,2933.0,9,http://www.cityofneedles.com/,1622.0,T9NEL5GM8SF1,,,,,,,,,,1.0,1,0.0,0.0,Tier II,,,
9R04,91022,9R04-005,Lincoln County,Lincoln County Human Services,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R04,Nevada Department of Transportation,Rural General Public Transit,2023-09-30,2024-01-31,1 Main St,,508,Pioche,NV,89043.0,4200.0,9,http://www.lincolncountynv.org,1625.0,CF1PBKH3FD51,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R04,91023,9R04-017,Humboldt County,,,"Senior Citizens of Humboldt County, Inc",Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R04,Nevada Department of Transportation,Rural General Public Transit,2023-09-30,2024-01-31,50 W 5Th St # 205,,,Winnemucca,NV,89445.0,3150.0,9,http://www.hcnv.us,1625.0,LWU1E6XDTBK7,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R02,91027,9R02-056,City of Arvin,Transportation Department,,Arvin Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,200 Campus Dr,,,Arvin,CA,93203.0,1008.0,9,http://www.arvin.org/,1622.0,HQNHK2AHXM11,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R02,91028,9R02-039,City of Solvang,,SYVT,Santa Ynez Valley Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,1644 Oak St,,,Solvang,CA,93463.0,2768.0,9,http://www.syvt.com,1622.0,HA48MQ84MJ33,,,,,,,,,,5.0,5,0.0,0.0,Tier II,,,
9R04,91029,9R04-010,Nye County,Nye County Transportation Services,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R04,Nevada Department of Transportation,Rural General Public Transit,2023-09-30,2024-01-31,101 Radar Rd,,392,Tonopah,NV,89049.0,,9,https://www.nyecountynv.gov/965/Transportation,1625.0,DN3MR2UV3DM7,3484.0,27335.0,,,,,,,7.0,,7,0.0,0.0,Tier II,,,
9R02,91032,9R02-143,City of Auburn,Planning & Public Works,,Auburn Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,1225 Lincoln Way,,,Auburn,CA,95603.0,5004.0,9,https://www.auburn.ca.gov/192/Transit-Services,1622.0,EU2ATPHDLMM8,,,,,,,,,6.0,,6,0.0,0.0,Tier II,,,
9R02,91035,9R02-022,Trinity County,Transportation,TCDOT,Trinity Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,31301 State Hwy 3,,2490,Weaverville,CA,96093.0,,9,http://www.trinitycounty.org/			,1622.0,L5JFNKZB8L75,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
9R02,91036,9R02-016,Humboldt Transit Authority,,HTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,133 V St,,,Eureka,CA,95501.0,844.0,9,http://www.hta.org/,1622.0,JM8MVKE6TFA4,,,,,,,,,14.0,,14,0.0,0.0,Tier II,,,
,91037,9R01-011,City of Bullhead,, BATS,Bullhead Area Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,2355 Trane Rd,,,Bullhead City,AZ,86442.0,5966.0,9,https://www.bullheadcity.com/community/bullhead-area-transit-system,1635.0,DB9YMA55NA45,28.0,41348.0,11431.0,"Bullhead City, AZ--NV",,54396.0,1536.877702039,35.39,12.0,,12,,,Tier II,,,
9R02,91038,9R02-052,Sierra County ,Department of Transportation,,Sierra County Transportation Commission,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,101 Courthouse Sq,,98,Downieville,CA,95936.0,9609.0,9,http://sierracounty.ca.gov/,1622.0,NA7LYJSG63L8,,,,,,,,,,4.0,4,0.0,0.0,Tier II,,,
9R02,91041,9R02-006,City of Dixon ,Public Works ,,Readi-Ride,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,600 E A St,,,Dixon,CA,95620.0,3619.0,9,http://www.ci.dixon.ca.us/,1622.0,QE5XPBRM4L97,,,,,,,,,10.0,,10,0.0,0.0,Tier II,,,
9R02,91043,9R02-042,City of Guadalupe,Public Works,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,918 Obispo St,,,Guadalupe,CA,93434.0,1428.0,9,http://www.ci.guadalupe.ca.us/,1622.0,FH7SDGLEAH51,,,,,,,,,,3.0,3,0.0,0.0,Tier II,,,
9R08,91045,9R08-001,Northern Marianas - Commonwealth Office of Transit Authority ,,COTA,,Rural Reporter,Rural,State Government Unit or Department of Transportation,9R08,Northern Marianas - Commonwealth Office of Transit Authority,Rural General Public Transit,2023-09-30,2024-01-31,"2Nd Floor Rm. 216, Nauru Building Marianas Business Plaza Susupe",,,Saipan,MP,96950.0,,9,www.transit.cnmi.gov,7169.0,ZNJDHGSGA147,,,,,,,,,7.0,,7,0.0,0.0,Tier II,,,
9R02,91047,9R02-047,Mendocino Transit Authority,,MTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,241 Plant Rd,,,Ukiah,CA,95482.0,6944.0,9,http://www.mendocinotransit.org,1622.0,SZB1NXN3L856,,,,,,,,,24.0,,24,0.0,0.0,Tier II,,,
9R02,91048,9R02-017,County of Siskiyou,General Services,STAGE,Siskiyou County Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,190 Greenhorn Rd,,,Yreka,CA,96097.0,9679.0,9,http://www.co.siskiyou.ca.us/,1622.0,CBUHM8LMT9E7,,,,,,,,,6.0,,6,0.0,0.0,Tier II,,,
9R01,91052,9R01-038,City of Douglas,Transit Department,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,425 E 10Th St ,,,Douglas,AZ,85607.0,2008.0,9,https://www.douglasaz.gov/283/Public-Transportation,1635.0,LJJCET1DRSJ9,,,,,,,,,8.0,,8,0.0,0.0,Tier II,,,
9R02,91053,9R02-001,Lake Transit Authority,,LTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,9240 Hwy 53,,,Lower Lake,CA,95457.0,698.0,9,http://laketransit.org/,1622.0,SMF9R87BZH69,,,,,,,,,,26.0,26,0.0,0.0,Tier II,,,
9R02,91057,9R02-035,Tuolumne County Transit,,"TCT, TCTA",,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,2 S Green St ,,,Sonora,CA,95370.0,4618.0,9,https://www.tuolumnecountytransit.com/,1622.0,HLLRLQ2NPXP3,,,,,,,,,,12.0,12,0.0,0.0,Tier II,,,
,91058,9R02-004,City of Ojai,,,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,401 S Ventura St,,1570,Ojai,CA,93023.0,3248.0,9,http://www.ci.ojai.ca.us/,1622.0,YADCB324YKN8,4.0,7628.0,66673.0,"Oxnard--San Buenaventura (Ventura), CA",,376117.0,4909.69933408895,76.61,2.0,,2,,,Tier II,,,
,91059,9R02-037,Kern Regional Transit,,KT,,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,2700 M St,STE 400,,Bakersfield,CA,93301.0,2375.0,9,http://kerntransit.org/,1622.0,JTBAYSUJB446,906.0,155249.0,4681.0,"Bakersfield, CA",,570235.0,4316.01600590342,132.12,,40.0,40,,,Tier II,,,
9R04,91061,9R04-032,Elko County,Elko County Transit Service,,GET My Ride,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R04,Nevada Department of Transportation,Rural General Public Transit,2023-09-30,2024-01-31,569 Court St,,,Elko,NV,89801.0,3573.0,9,www.getmyrideelko.com,1625.0,D5D9EAMCUFL9,20.0,5843.0,,,,,,,10.0,,10,0.0,0.0,Tier II,,,
9R02,91062,9R02-098,Eastern Sierra Transit Authority,,ESTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,565 Airport Rd,,1357,Bishop,CA,93514.0,3610.0,9,https://www.estransit.com,1622.0,J3NSE2A3QDA5,,,,,,,,,37.0,,37,0.0,0.0,Tier II,,,
9R04,91064,9R04-006,Douglas County,Douglas County Transportation,,Douglas Area Rural Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R04,Nevada Department of Transportation,Rural General Public Transit,2023-09-30,2024-01-31,1594 Esmeralda Ave,,,Minden,NV,89423.0,,9,https://communityservices.douglascountynv.gov/senior_services/transportation,1625.0,KE5GF37F6F95,,,,,,,,,20.0,,20,0.0,0.0,Tier II,,,
9R02,91066,9R02-010,City of Taft,,TAT,Taft Area Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,209 E Kern St,,,Taft,CA,93268.0,3224.0,9,http://www.cityoftaft.org/pView.aspx?id=5385&catid=562,1622.0,M355M1YAZH53,,,,,,,,,3.0,,3,0.0,0.0,Tier II,,,
9R01,91069,9R01-013,Town of Miami ,Transit,CMT,Copper Mountain Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,740 W Sullivan St ,,,Miami,AZ,85539.0,1109.0,9,http://www.miamiaz.gov/,1635.0,W1BMPTC6XXC5,,,,,,,,,5.0,,5,0.0,0.0,Tier II,,,
9R02,91070,9R02-019,Yosemite Area Regional Transportation System,,YARTS,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,369 W 18Th St,,,Merced,CA,95340.0,4801.0,9,http://www.YARTS.com,1622.0,DL8DZ6NK48K1,,,,,,,,,,9.0,9,0.0,0.0,Tier II,,,
9R02,91071,9R02-058,City of Chowchilla,Transit Department,CATX,Chowchilla Area Transit Express,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,130 S 2Nd St,,,Chowchilla,CA,93610.0,2935.0,9,https://www.cityofchowchilla.org/,1622.0,M948Q9D4CDZ1,,,,,,,,,2.0,,2,0.0,0.0,Tier II,,,
,91072,9R04-036,Southern Nevada Transit Coalition,,SNTC,SNTC - Laughlin,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,2023-09-30,2024-01-31,260 E Laughlin Civic Dr,,,Laughlin,NV,89029.0,1500.0,9,http://www.sntc.net,1625.0,C364MHM3H557,89.0,8000.0,11431.0,"Bullhead City, AZ--NV",,54396.0,1536.877702039,35.39,9.0,,9,,,Tier II,,,
9R02,91074,9R02-014,City of Tehachapi,,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,115 S Robinson St,,,Tehachapi,CA,93561.0,1722.0,9,http://www.liveuptehachapi.com/,1622.0,FWZLF5N9FP79,,,,,,,,,,,0,0.0,0.0,Tier II,,,
9R01,91075,9R01-007,City of Kingman,Transit,KART,Kingman Area Regional Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,310 N 4Th St,,,Kingman,AZ,86401.0,5817.0,9,http://www.bullheadcity.gov/kart,1635.0,KAD1NAP3JXJ9,,,,,,,,,5.0,,5,0.0,0.0,Tier II,,,
,91078,9R02-061,City of Escalon,Transit Services,,eTrans,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,2060 Mchenry Ave,,,Escalon,CA,95320.0,9484.0,9,http://cityofescalon.org/government/departments/transit_service,1622.0,UF1GHMDHMRK9,3.0,7200.0,58006.0,"Modesto, CA",,357301.0,5076.78643425922,70.38,,4.0,4,0.0,0.0,Tier II,,,
9R03,91080,9R03-002,County of Hawaii,Mass Transit Agency,,Hele-On,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R03,Hawaii Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,25 Aupuni St,,,Hilo,HI,96720.0,4245.0,9,http://heleonbus.org/,1623.0,F7S9S5D2CSP3,,,,,,,,,,98.0,98,0.0,0.0,Tier II,,,
9R02,91082,9R02-094,Mariposa County,Public Works/Transportation Planning,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,4639 Ben Hur Rd,,,Mariposa,CA,95338.0,9474.0,9,http://ca-mariposacounty.civicplus.com/,1622.0,L63AEQY86BZ4,,,,,,,,,8.0,,8,0.0,0.0,Tier II,,,
9R02,91088,9R02-009,County of Glenn,Glenn County Planning and Community Development Services Agency,,Glenn Transit Services,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,777 N Colusa St,,1070,Willows,CA,95988.0,2211.0,9,https://www.countyofglenn.net/dept/public-works/public-transit-transportation/welcome,1622.0,N5T7L9A5KH65,,,,,,,,,,4.0,4,4.0,4.0,Tier II,,,
9R02,91089,9R02-027,Tehama County,,TRAX,Tehama Rural Area Express,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,9380 San Benito Ave,,,Gerber,CA,96035.0,9701.0,9,http://www.taketrax.com/,1622.0,N262GZZ9MMD7,,,,,,,,,,14.0,14,2.0,3.0,Tier II,,,
9R02,91090,9R02-049,Morongo Basin Transit Authority,,MBTA BUS,Basin Transit,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,62405 Verbena Rd,,,Joshua Tree,CA,92252.0,4034.0,9,http://www.mbtabus.com,1622.0,C4B3PUWJEK47,,,,,,,,,13.0,,13,0.0,0.0,Tier II,,,
,91092,9R02-137,Tahoe Transportation District,,TTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,128 Market St,STE 3F,499,Stateline,NV,89449.0,1001.0,9,http://www.tahoetransportation.org/,5896.0,RG1FK3KPHD86,73.0,150242.0,99999.0,"Lake Tahoe, CA-NV",,210000.0,5676.0,37.0,12.0,,12,,,Tier II,,,
9R02,91093,9R02-068,City of Eureka ,,ETS,Eureka Transit Service,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,531 K Street,,,Eureka,CA,95501.0,1165.0,9,http://www.ci.eureka.ca.gov,1622.0,RLLXTF29T163,,,,,,,,,,9.0,9,0.0,0.0,Tier II,,,
9R04,91094,9R04-013,Retired Senior Volunteer Program - RSVP,,RSVP,"Nevada Rural Counties RSVP Program, Inc.",Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,9R04,Nevada Department of Transportation,Asset Subrecipient,2023-09-30,2024-01-31,2621 Northgate Lane,Suite 6,1708,Carson City,NV,89706.0,,9,www.nevadaruralrsvp.org,,,,,,,,,,,,,0,,,Tier II,,,
9R02,91095,9R02-012,County of Nevada,Public Works,,Nevada County Connects,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,950 Maidu Ave,,,Nevada City,CA,95959.0,8600.0,9,https://www.nevadacountyca.gov/3456/Transit-Services,1622.0,QDDBKGRJTRL5,,,,,,,,,7.0,10.0,17,0.0,0.0,Tier II,,,
9R01,91096,9R01-005,City of Coolidge,Transit,CART,Cotton Express/Central Arizona Regional Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",9R01,Arizona Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,130 W Central Ave,,,Coolidge,AZ,85128.0,4406.0,9,www.coolidgeaz.com,1635.0,F5FGD6J8XUU7,,,,,,,,,8.0,,8,0.0,0.0,Tier II,,,
